Id,MovieName,MoviePoster,MovieRating,PGRating,MovieDuration,ReleaseDate,Director,Actor,Writer,MovieGenre,Story
954,Love Is All There Is (1996) ,"https://m.media-amazon.com/images/M/MV5BMjA1ODEyMTg3M15BMl5BanBnXkFtZTcwNzgzNzA2NA@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.1,R,2h," 10 May 1996 (USA)
    ","Joseph Bologna,Renée Taylor","Lainie Kazan,Joseph Bologna,Barbara Carrera","Gabriel Bologna,Joseph Bologna"," Comedy, Romance","    The Capomezzo's and the Malacici's are Italian-American families who are also rivals in the catering and restaurant business. Things come to a head when the Capomezzo's son and the Malacici's daughter get thrown together for the leads in a Romeo & Juliet community play. As the parents continue butting heads, the children fall in love and hilarity ensues."
955,The Butcher Boy (1997) ,"https://m.media-amazon.com/images/M/MV5BN2YzZWYxZTgtNzFjMy00ODg3LWJhYjItMWRkZTk0MDliYTBjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.1,R,1h 50min," A kis véreskezű
      ",Neil Jordan,"Stephen Rea,Fiona Shaw,Eamonn Owens","Pat McCabe,Neil Jordan"," Comedy, Drama","    Francie and Joe live the usual playful, fantasy filled childhoods of normal boys. However, with a violent, alcoholic father and a manic depressive, suicidal mother the pressure on Francie to grow up are immense. Unfortunately, one tragedy after another, Francie's world sinks deeper and deeper into paranoia (directed mainly against Mrs. Nugent, a nasty neighbor) and fantasy (where he has visions of the Virgin Mary)."
956,Last Summer in the Hamptons (1995) ,"https://m.media-amazon.com/images/M/MV5BMTY2OTM4MDI2OV5BMl5BanBnXkFtZTcwNTQxMTYxMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.6,R,1h 48min," Az utolsó nyár Hamptonban
      ",Henry Jaglom,"Victoria Foyt,Viveca Lindfors,Jon Robin Baitz",Henry Jaglom," Comedy, Drama","    Filmed entirely on location in East Hampton, Long Island, ""Last Summer in the Hamptons"" concerns a large theatrical family spending the last weekend of their summer together at the decades-old family retreat which economic circumstances have forced them to put on the market. Victoria Foyt plays a young Hollywood actress whose visit wreaks havoc on the stellar group of family and friends - led by matriarch Viveca Lindfors and made up of an extraordinary mix of prominent New York actors, directors, and playwrights. In the course of a very unusual weekend, comic as well as serious situations arise, and the family's secrets - of which there are many - begin to unravel."
957,Margaret's Museum (1995) ,"https://m.media-amazon.com/images/M/MV5BMTc3NjY0Mjk4MV5BMl5BanBnXkFtZTcwNTAzMzUyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",7.1,R,1h 54min," Das Ende aller Träume
      ",Mort Ransen,"Helena Bonham Carter,Kate Nelligan,Clive Russell","Sheldon Currie,Gerald Wexler", Drama,"    In a town where half the men die down the coalpit, Margaret MacNeil is quite happy being single. Until she meets Neil Currie, a charming and sincere bagpipe-playing, Gaelic-speaking dishwasher. But no matter what you do, you can't avoid the spectre of the pit forever."
958,The Saint of Fort Washington (1993) ,"https://m.media-amazon.com/images/M/MV5BMTQxOTQ1NzYzOV5BMl5BanBnXkFtZTcwOTM3NjYxNA@@._V1_UY268_CR3,0,182,268_AL_.jpg",7.2,R,1h 43min,"
",Tim Hunter,"Danny Glover,Matt Dillon,Rick Aviles",, Drama,"    Matthew, a young schizophrenic, finds himself out on the street when a slumlord tears down his apartment building. Soon, he finds himself in even more dire straits, when he is threatened by Little Leroy, a thug who is one of the tough denizens of the Fort Washington Shelter for Men. He reaches out to Jerry, a streetwise combat veteran, who takes Matthew under his wing as a son. The relationship between these two men grows as they attempt to conquer the numbing isolation of homelessness."
959,The Cure (1995) ,"https://m.media-amazon.com/images/M/MV5BYjIyOGNkNTgtYmM4Mi00NDU4LTgzZTQtYWJlZjUxZjA2NmI4XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.7,PG-13,1h 37min," A Cura
      ",Peter Horton,"Joseph Mazzello,Brad Renfro,Aeryk Egan",, Drama,"    Dexter, age 11, who has AIDS, and his next door neighbor Erik, a little older and much bigger, become best friends. Erik also becomes closer to Dexter's mother than to his own, who is neglectful and bigoted and violently forbids their friendship upon learning of it. When they read that a doctor in distant New Orleans claims to have found a cure for AIDS, the boys leave home on their own, planning to float down the Mississippi river and find him."
960,Tom and Huck (1995) ,"https://m.media-amazon.com/images/M/MV5BN2ZkZTMxOTAtMzg1Mi00M2U0LWE2NWItZDg4YmQyZjVkMDdhXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_UX182_CR0,0,182,268_AL_.jpg",5.5,PG,1h 37min," 22 December 1995 (USA)
    ",Peter Hewitt,"Jonathan Taylor Thomas,Brad Renfro,Charles Rocket","Mark Twain,Stephen Sommers"," Adventure, Comedy, Drama, Family, Romance, Western","    A mischievous young boy, Tom Sawyer (Jonathan Taylor Thomas, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn (Brad Renfro, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence."
961,Hideaway (1995) ,"https://m.media-amazon.com/images/M/MV5BMmM1OTU2MDQtZWVjMi00NmY4LWI1ZDYtZTg0ODE5YTUxNDA1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.3,R,1h 46min," O Esconderijo
      ",Brett Leonard,"Jeff Goldblum,Christine Lahti,Alicia Silverstone","Dean R. Koontz,Andrew Kevin Walker"," Fantasy, Horror, Thriller","    Hatch Harrison had a traffic accident with his car. At first the doctors said he was dead but then they succeeded in bringing him back to life after two hours. In no time, Hatch starts to have strange sensations and discovers that he is now united with a mad killer who had entered his mind during his death."
962,Les visiteurs (1993) ,"https://m.media-amazon.com/images/M/MV5BMjc2ODE2OTYtNTgyMS00ZDY1LWJiZjMtNzAxODcyN2VjZjhkXkEyXkFqcGdeQXVyMTY5MDE5NA@@._V1_UY268_CR8,0,182,268_AL_.jpg",7,R,1h 47min," Die Besucher
      ",Jean-Marie Poiré,"Christian Clavier,Jean Reno,Valérie Lemercier",Christian Clavier," Comedy, Fantasy","    A medieval nobleman and his squire are accidentally transported to contemporary times by a senile sorcerer. He enlists the aid of his descendent to try to find a way to return home, all the while trying to cope with the cultural and technological changes distinguishing his time from ours."
963,Bhaji on the Beach (1993) ,"https://m.media-amazon.com/images/M/MV5BMTYyNTM0Mzk3MF5BMl5BanBnXkFtZTcwNDAzMTgxMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",6.3,R,1h 41min," Bhaji na Praia
      ",Gurinder Chadha,"Kim Vithana,Jimmi Harkishin,Sarita Khajuria",Gurinder Chadha," Comedy, Drama","    A group of women of Indian descent take a trip together from their home in Birmingham, England to the beach resort of Blackpool. The women vary in ages from mid-teens to old, and initially have little in common. But the events of the day lead them to better mutual understanding and solidarity."
964,Nightwatch (1997) ,"https://m.media-amazon.com/images/M/MV5BYWQyNzdhNTQtZjUzYS00Yzk2LTk3OTEtYzhkYjc4YzJiMGYyXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UY268_CR11,0,182,268_AL_.jpg",6.2,R,1h 41min," La sombra de la noche
      ",Ole Bornedal,"Ewan McGregor,Nick Nolte,Anais Evans","Ole Bornedal,Ole Bornedal"," Drama, Horror, Thriller","    A law student takes a job as the night-watchman in a morgue, thinking that he will have much time to study, with his biggest problem being his paranoia in this scary setting. Meanwhile, a serial killer is on the loose and the student ends up getting mixed up with one of the murders, becoming a suspect."
965,Dead Presidents (1995) ,"https://m.media-amazon.com/images/M/MV5BNjdhZWEzMzEtMjNhZS00OThhLWFiZWUtM2EwMWU5MWE0MDA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.9,R,1h 59min," Alta Jogada
      ","Albert Hughes,Allen Hughes","Larenz Tate,Keith David,Chris Tucker","Allen Hughes,Albert Hughes"," Action, Crime, Drama, Thriller, War","    This action film, directed by the Hughes brothers, depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn."" However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960's."
966,Reckless (1995) ,"https://m.media-amazon.com/images/M/MV5BMTk4ODEzNDktM2U1ZC00MjhiLWEyMTgtNmI2NGM0ZWE3MTE2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UY268_CR0,0,182,268_AL_.jpg",5.4,PG-13,1h 31min," Aconteceu no Natal
      ",Norman René,"Mia Farrow,Tony Goldwyn,Juana Barrios",," Comedy, Drama, Fantasy","    On Christmas Eve, a regretful husband admits to his high-spirited wife that he has hired a contract killer to take her out. She immediately flees. A nice couple offers her shelter, but everyone have dark secrets in this wacky movie."
967,S.F.W. (1994) ,"https://m.media-amazon.com/images/M/MV5BNDlhMDg4OGQtYjIxMi00ZjY0LWEwOTktOWU3YWRiYzZlZjRiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",5.8,R,1h 36min," 36 Tage Terror
      ",Jefery Levy,"Stephen Dorff,Reese Witherspoon,Jake Busey","Andrew Wellman,Danny Rubin"," Comedy, Drama","    Cliff Spab is a guy who doesn't really care about anything. He gets held hostage at a store for 36 days by terrorists, who demand that the entire thing be broadcast on national television. Cliff ends up taking a bullet for fellow hostage Wendy - making him a national hero. The two are the sole survivors of the ordeal, and soon become prisoners of the media. Cliff escapes it all, only to find himself being pushed further away from Wendy when he needs her most."
968,The Man in the Iron Mask (1998) ,"https://m.media-amazon.com/images/M/MV5BZjM2YzcxMmQtOTc2Mi00YjdhLWFlZjUtNmFmMDQzYzU2YTk5L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.5,PG-13,2h 12min," 13 March 1998 (USA)
    ",Randall Wallace,"Leonardo DiCaprio,Jeremy Irons,John Malkovich",Alexandre Dumas," Action, Adventure, Drama","    Paris is starving, but the King of France is more interested in money and bedding women. When a young soldier dies for the sake of a shag, Aramis, Athos and Porthos band together with a plan to replace the king. Unknown to many, there is a 2nd king, a twin, hidden at birth, then imprisoned for 6 years behind an iron mask. All that remains now is D'Artagnan, will he stand against his long time friends, or do what is best for his country?"
969,Girl in the Cadillac (1995) ,"https://m.media-amazon.com/images/M/MV5BMTgxMzIwMzI2Ml5BMl5BanBnXkFtZTcwMDAyMzIyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.1,R,1h 29min," Adolescentes em Fuga
      ",Lucas Platt,"Erika Eleniak,William McNamara,Michael Lerner",James M. Cain," Adventure, Crime, Drama, Romance","    A runaway meets up with a young man in the bus station who leads her to a rendezvous with two others who are planning a bank robbery. She is convinced to drive the getaway car for $5,000 and assured that everything will go smoothly. Of course it doesn't and several bank employees get shot, as well as the two other robbers. The boy and girl flee with $75,000 which leave them being chased by the police and the other two robbers. After spending a considerable amount of the money, including buying a red Cadillac convertible, she decides she wants to give the money back which doesn't set well with her beau."
970,Even Cowgirls Get the Blues (1993) ,"https://m.media-amazon.com/images/M/MV5BMTIzMjY3MDY4Ml5BMl5BanBnXkFtZTcwMjY2MzcyMQ@@._V1_UY268_CR15,0,182,268_AL_.jpg",4.4,R,1h 35min," Até as Vaqueiras Ficam Tristes
      ",Gus Van Sant,"Uma Thurman,Lorraine Bracco,Pat Morita",Tom Robbins," Comedy, Drama, Romance, Western","    Sissy Hankshaw (Uma Thurman) is born with enormous thumbs that help her hitchhiking through the U.S. from a young age. She becomes a model in advertising, and her New York agent, ""the Countess"" (Sir John Hurt), sends her to his ranch in California to shoot a commercial, set against the background of mating whooping cranes. There, she befriends Bonanza Jellybean (Rain Phoenix), one of the cowgirls at the beauty ranch. The cowgirls take command of the ranch from the Countess and drug the cranes with peyote. The Police besiege the ranch."
971,Germinal (1993) ,"https://m.media-amazon.com/images/M/MV5BMjViOGU4ZjctMjQ1Mi00MzliLTk2ZDgtYWU3ZGZlMjNjNGMzXkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_UY268_CR6,0,182,268_AL_.jpg",7.1,R,2h 40min,"
",Claude Berri,"Renaud,Gérard Depardieu,Miou-Miou","Claude Berri,Arlette Langmann"," Drama, Romance","    It's mid 19th century, north of France. The story of a coal miner's town. They are exploited by the mine's owner. One day the decide to go on strike, and then the authorities repress them."
972,Chasers (1994) ,"https://m.media-amazon.com/images/M/MV5BMTYzNTQ1OTUxOV5BMl5BanBnXkFtZTcwNTY5NjkxMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",5.1,R,1h 42min," Misión explosiva
      ",Dennis Hopper,"Tom Berenger,Erika Eleniak,William McNamara","Joe Batteer,John Rice", Comedy,    A hapless Navy grunt is assigned SP duty. The catch: he must escort a beautiful female prisoner on her way to prison for going UA. She in turn will try anything to escape.
973,A Modern Affair (1995) ,"https://m.media-amazon.com/images/M/MV5BMjE5MDM4NzM2OV5BMl5BanBnXkFtZTcwODU2OTYxMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.9,R,1h 30min," Mr. #247
      ",Vern Oakley,"Lisa Eichhorn,Stanley Tucci,Caroline Aaron","Vern Oakley,Paul Zimmerman"," Comedy, Drama, Romance","    ""A Modern Affair"" is a romantic comedy about the strain of contemporary relationships, one woman's urgent desire for parenthood, and a solution to it all. Grace Rhodes is the perfect corporate executive -- bright, successful, attractive and with just professional touch. With her career in place, Grace feels she has everything she needs -- until she bumps into an ex-boyfriend bearing photos of his young kids. Feeling the irresistible urge to have a child, but not sure about waiting around for Mr. Right,"" Grace knows what she wants, but not how best to get it. Elaine, her wryly pragmatic best friend, suggests that Grace do the unthinkable and enlist the services of a sperm bank. After choosing a donor from the ""DNA menu,"" Grace becomes pregnant and deeply curious about the identity of the donor #247. Enter Peter Kessler, a handsome photographer who divides his time between his craft, his casual affair with a married woman, and his ""other job:"" depositing specimens as a sperm donor to ..."
974,Il mostro (1994) ,"https://m.media-amazon.com/images/M/MV5BYzcwY2VhNjgtOGIzNS00ZDk5LWJiY2MtNTljMTdiN2RhNTJhXkEyXkFqcGdeQXVyMzIzNDU1NTY@._V1_UY268_CR8,0,182,268_AL_.jpg",7.5,R,1h 52min,"
",Roberto Benigni,"Roberto Benigni,Michel Blanc,Nicoletta Braschi","Roberto Benigni,Vincenzo Cerami"," Comedy, Crime, Mystery","    A vicious serial sex killer is on the loose, and landscape gardener and shop-window outfitter Loris is the prime suspect, thanks to his unfortunate habit of getting caught in compromising situations (for which there is always a totally innocent explanation that the police fail to spot). Undercover policewoman Jessica is assigned by eccentric police psychologist Taccone to follow Loris and provide evidence for his arrest - but things don't quite go according to plan..."
975,Flirt (1995) ,"https://m.media-amazon.com/images/M/MV5BMTdiYjAyZWUtNWRkYy00Y2QxLWIxODQtNmU4ZTZkZTgzYzExXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_UX182_CR0,0,182,268_AL_.jpg",6.3,R,1h 25min," Флирт
      ",Hal Hartley,"Paul Austin,Robert John Burke,Martin Donovan",," Drama, Romance","    The same situation is played out in different cities (New York, Berlin and Tokyo). A lover has to choose whether to commit to a partner who is returning home. In each case there are other people involved, an ex-partner and someone else in a ""permanent"" relationship, what do they choose to do?"
